title,heading,content,tokens
13401820,Colors,The colors available for 13401820 is Pebble Blue,10
13401820,Material,The material of 13401820 is 55% linen/45% polyester,15
13401820,Fit,"The fit of 13401820 is Universal fit - Not too slim, not too relaxed on body.",20
20612164,Colors,"The colors available for 20612164 is Black, Deep Eggplant, Storm, Sprig",18
20612164,Material,The material of 20612164 is 100% Polyester,11
20612164,Fit,"The fit of 20612164 is Universal fit - Not too slim, not too relaxed on body. Designed to fit over midweight layers.",28
20612337,Colors,"The colors available for 20612337 is Blue Smoke, Pumice, Med Indigo, Dk Marigold, Maroon, Alder",29
20612337,Material,The material of 20612337 is 62% cotton/38% nylon,14
20612337,Fit,The fit of 20612337 is Athletic fit - Close to the body without restricting mobility. Designed to fit over baselayers and lightweight midlayers.,31
20612339,Colors,"The colors available for 20612339 is Atlantic, Black, Dk Charcoal Htr, Seapine, Dusty Red",26
20612339,Material,The material of 20612339 is 100% nylon (Black): 100% polyester (all other colors),22
20612339,Fit,The fit of 20612339 is Generous fit - Relaxed on body. Designed to fit over heavyweight layers.,23
20612354,Colors,"The colors available for 20612354 is Black, Blue Smoke, Dk Indigo, Mulberry",19
20612354,Material,"The material of 20612354 is 100% polyester or 53% nylon/32% polyester/15% cotton, depending on color",28
20612354,Fit,"The fit of 20612354 is Universal fit - Not too slim, not too relaxed on body. Designed to fit over midweight layers.",28
20612412,Colors,"The colors available for 20612412 is Black, Cement, Dk Charcoal Htr, Alder and Dark Sable",26
20612412,Material,"The material of is 20612412 100% nylon or 100% polyester, depending on color",19
20612412,Fit,The fit of 20612412 is Generous fit - Relaxed on body. Designed to fit over heavyweight layers.,23
20612452,Colors,"The colors available for 20612452 is Black, Blue Smoke, Dk Marigold, Ecru and Storm",23
20612452,Material,The material of 20612452 is 62% cotton/38% nylon,14
20612452,Fit,"The fit of 20612452 is Universal fit - Not too slim, not too relaxed on body. Designed to fit over midweight layers.",28
20612462,Colors,"The colors available for 20612462 is Atlantic, Black, Capers, Dusty Red",18
20612462,Material,The material of 20612462 is 80% nylon/20% polyester,15
20612462,Fit,"The fit of 20612462 is Universal fit - Not too slim, not too relaxed on body. Designed to fit over midweight layers.",28
20612466,Colors,"The colors available for 20612466 is Winter Blue, Black and Dusty Red",16
20612466,Material,The material of 20612466 is 100% polyester,11
20612466,Fit,"The fit of 20612466 is Universal fit - Not too slim, not too relaxed on body. Designed to fit over midweight layers.",28
20612472,Colors,"The colors available for 20612472 is Black, Rust and Storm",13
20612472,Material,The material of 20612472 is 86% nylon/14% polyester,15
20612472,Fit,"The fit of 20612472 is Universal fit - Not too slim, not too relaxed on body. Designed to fit over midweight layers.",28
